timeframe,timestamp,close,ema20,ema50,ema200,sma20,sma50,sma200,rsi14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_width,bb_squeeze,atr14,volume_ratio,volume_quality,trend_state,momentum_state,volatility_state,trend_strength_score
15m,2026-05-09T11:00:00+00:00,80313.2,80290.25,80272.05,,80274.83,80310.59,,51.38,-13.6626,-12.7985,-0.864,80425.0,80274.83,80124.66,0.003741,True,77.21,0.1414,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T11:15:00+00:00,80351.6,80296.1,80275.17,,80277.7,80312.06,,53.95,-6.9533,-11.6295,4.6762,80431.57,80277.7,80123.82,0.003833,True,74.92,0.241,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T11:30:00+00:00,80339.6,80300.24,80277.7,,80284.32,80314.48,,53.01,-2.5747,-9.8185,7.2438,80436.8,80284.32,80131.84,0.003798,True,71.18,2.017,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T11:45:00+00:00,80324.2,80302.52,80279.52,,80288.18,80317.53,,51.76,-0.3434,-7.9235,7.5801,80440.59,80288.18,80135.76,0.003797,True,67.98,2.5138,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T12:00:00+00:00,80301.4,80302.42,80280.38,,80295.3,80321.04,,49.89,-0.4101,-6.4208,6.0107,80435.08,80295.3,80155.51,0.003482,True,66.39,0.215,reliable,neutral,recovering,squeeze,40.0
15m,2026-05-09T12:15:00+00:00,80396.5,80311.38,80284.94,,80303.1,80325.03,,56.89,7.1286,-3.7109,10.8396,80447.34,80303.1,80158.85,0.003593,True,70.34,3.1091,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T12:30:00+00:00,80348.5,80314.91,80287.43,,80309.52,80329.18,,52.87,9.1248,-1.1438,10.2685,80449.58,80309.52,80169.45,0.003488,True,70.35,0.1732,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T12:45:00+00:00,80392.7,80322.32,80291.56,,80318.31,80334.11,,55.96,14.1106,1.9071,12.2035,80455.92,80318.31,80180.71,0.003427,True,68.91,0.4345,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T13:00:00+00:00,80417.2,80331.36,80296.48,,80319.99,80338.72,,57.61,19.8105,5.4878,14.3227,80461.7,80319.99,80178.28,0.003529,True,67.24,1.413,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T13:15:00+00:00,80337.9,80331.98,80298.11,,80318.1,80340.88,,50.94,17.7246,7.9351,9.7894,80457.69,80318.1,80178.52,0.003476,True,68.4,1.6606,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T13:30:00+00:00,80329.2,80331.71,80299.33,,80313.72,80341.46,,50.25,15.1943,9.387,5.8073,80445.53,80313.72,80181.91,0.003282,True,67.25,1.214,reliable,neutral,bullish,squeeze,40.0
15m,2026-05-09T13:45:00+00:00,80377.8,80336.1,80302.4,,80312.86,80343.67,,53.99,16.9156,10.8927,6.0229,80442.63,80312.86,80183.08,0.003232,True,65.92,0.7228,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T14:00:00+00:00,80380.4,80340.32,80305.46,,80315.05,80343.59,,54.19,18.2789,12.3699,5.909,80447.95,80315.05,80182.14,0.003309,True,65.76,0.2402,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T14:15:00+00:00,80328.4,80339.19,80306.36,,80319.05,80343.66,,49.58,14.9905,12.8941,2.0965,80448.26,80319.05,80189.84,0.003217,True,69.09,0.2227,reliable,neutral,recovering,squeeze,40.0
15m,2026-05-09T14:30:00+00:00,80334.3,80338.72,80307.46,,80324.56,80341.67,,50.1,12.714,12.858,-0.1441,80445.89,80324.56,80203.22,0.003021,True,68.79,0.2557,reliable,neutral,weakening,squeeze,40.0
15m,2026-05-09T14:45:00+00:00,80321.9,80337.12,80308.02,,80328.83,80339.84,,48.96,9.7963,12.2457,-2.4494,80442.89,80328.83,80214.77,0.00284,True,71.45,0.3473,reliable,neutral,bearish,squeeze,40.0
15m,2026-05-09T15:00:00+00:00,80276.3,80331.33,80306.78,,80332.5,80337.45,,44.92,3.7611,10.5488,-6.7876,80433.48,80332.5,80231.52,0.002514,True,73.62,0.6294,reliable,neutral,bearish,squeeze,20.0
15m,2026-05-09T15:15:00+00:00,80401.0,80337.96,80310.48,,80342.77,80337.37,,55.69,8.9375,10.2265,-1.2891,80425.16,80342.77,80260.39,0.002051,True,77.27,0.3596,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-09T15:30:00+00:00,80471.8,80350.71,80316.8,,80350.33,80338.0,,60.43,18.539,11.889,6.65,80450.08,80350.33,80250.58,0.002483,True,84.85,0.8903,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T15:45:00+00:00,80518.8,80366.72,80324.72,,80363.13,80339.83,,63.23,29.5996,15.4311,14.1684,80479.83,80363.13,80246.44,0.002904,True,85.43,0.3394,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T16:00:00+00:00,80560.7,80385.19,80333.98,,80375.51,80344.08,,65.58,41.2704,20.599,20.6714,80519.27,80375.51,80231.75,0.003577,True,86.66,0.2079,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-09T16:15:00+00:00,80637.6,80409.23,80345.88,,80389.81,80349.0,,69.43,56.0784,27.6948,28.3835,80574.59,80389.81,80205.03,0.004597,False,94.42,1.6698,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T16:30:00+00:00,80629.1,80430.17,80356.99,,80404.29,80350.27,,68.52,66.3629,35.4285,30.9344,80615.91,80404.29,80192.66,0.005264,False,90.42,0.4456,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T16:45:00+00:00,80607.7,80447.08,80366.82,,80418.46,80353.29,,66.16,71.9572,42.7342,29.223,80644.96,80418.46,80191.96,0.005633,False,87.2,2.8121,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T17:00:00+00:00,80739.5,80474.93,80381.44,,80440.37,80360.11,,72.45,86.0341,51.3942,34.6399,80701.32,80440.37,80179.41,0.006488,False,94.72,0.6709,reliable,neutral,overbought,normal,60.0
15m,2026-05-09T17:15:00+00:00,80812.2,80507.05,80398.33,,80461.15,80368.71,,75.19,101.8821,61.4918,40.3903,80769.34,80461.15,80152.96,0.00766,False,96.65,0.6945,reliable,neutral,overbought,normal,60.0
15m,2026-05-09T17:30:00+00:00,80831.0,80537.9,80415.3,,80485.28,80377.94,,75.86,114.6372,72.1209,42.5163,80829.74,80485.28,80140.81,0.00856,False,95.7,0.8146,reliable,neutral,overbought,normal,60.0
15m,2026-05-09T17:45:00+00:00,80800.0,80562.86,80430.38,,80505.64,80385.35,,72.39,120.8512,81.8669,38.9843,80874.36,80505.64,80136.92,0.00916,False,96.25,1.0073,reliable,neutral,overbought,normal,60.0
15m,2026-05-09T18:00:00+00:00,80828.5,80588.16,80446.0,,80526.21,80392.93,,73.59,126.616,90.8167,35.7992,80919.24,80526.21,80133.17,0.009762,False,94.85,2.7447,reliable,neutral,overbought,normal,60.0
15m,2026-05-09T18:15:00+00:00,81029.4,80630.18,80468.87,,80560.78,80406.14,,80.12,145.7158,101.7966,43.9193,81002.69,80560.78,80118.87,0.010971,False,104.68,2.5034,reliable,neutral,overbought,normal,60.0
15m,2026-05-09T18:30:00+00:00,80894.3,80655.34,80485.56,,80589.04,80416.32,,67.95,148.2423,111.0857,37.1566,81040.75,80589.04,80137.32,0.01121,False,107.4,0.4955,reliable,neutral,bullish,normal,60.0
15m,2026-05-09T18:45:00+00:00,80892.0,80677.88,80501.5,,80614.75,80428.28,,67.76,148.349,118.5384,29.8106,81074.3,80614.75,80155.19,0.011401,False,101.7,0.335,reliable,neutral,bullish,normal,60.0
