date,btc_market_cap,btc_dominance,btc_volume,btc_close,usdt_market_cap,altcoin_season_index
2024-08-26,1269291077270.1143,53.8452584042829,17875230147.044323,64265.81631272862,573.1076363055,50
2024-08-27,1242487823611.2612,54.77,17894692681.091812,62922.58634676265,548.8530122031234,25
2024-08-28,1176762244308.0742,54.03119005621636,38131727427.91789,59526.560879590994,534.6723254250207,50
2024-08-29,1166032395735.947,53.83,42018989572.42786,59015.29633887944,536.5579977474256,50
2024-08-30,1171762256043.917,53.742424157636506,32563333956.986053,59351.5794909728,536.8036844570744,50
2024-08-31,1168247205700.9673,53.97,44038496614.947586,59156.246036463555,535.4547657229192,50
2024-09-01,1164278309271.2642,53.82373343299414,11399086336.303324,58960.23658664587,532.7142189592856,25
2024-09-02,1133133027660.6194,55.9,25465621877.97047,57357.71617282246,512.8645441575117,25
2024-09-03,1168410293915.9832,53.92287290686117,28012782290.96625,59108.73235863689,526.1346608462134,50
2024-09-04,1137361604370.578,54.17,26829983370.35861,57504.538586220435,518.9769919279926,50
2024-09-05,1144983177152.221,54.06634916810704,37550380696.7459,57987.84601410068,508.0001826075747,50
2024-09-06,1109212553022.4158,54.3,30005773445.693718,56132.404732088595,502.3364802943831,50
2024-09-07,1065462041080.5197,53.64661333135269,50260816556.81667,53923.35611071905,486.61133722783063,50
2024-09-08,1068954727890.2039,55.88,17048448412.007126,54150.9383589072,493.1697725825615,25
2024-09-09,1085390277573.522,53.431525104681555,18644823662.23431,54792.40755768575,502.47327648981104,75
2024-09-10,1126840069631.8132,51.47,35655419448.07046,57049.118751143265,519.0381441947187,75
2024-09-11,1137928777838.5286,53.603744630957394,29676093302.30697,57624.16178336144,517.371526189411,50
2024-09-12,1134292554478.847,52.95,37765652735.2964,57381.764445000474,530.7261556082223,75
2024-09-13,1148469900814.253,53.75773804530568,34177859933.02337,58106.951229815284,543.9941131094093,50
2024-09-14,1197832322916.0117,52.06,31919740723.76027,60620.62747295754,557.3001014335761,75
2024-09-15,1185255944124.8464,54.101172734566994,15800120841.166773,60003.29940083042,553.4601547683208,75
2024-09-16,1169677517083.0613,54.15,17289597542.866756,59214.80226801806,553.5317684437828,50
2024-09-17,1150499194409.9338,54.34362387246541,32196570894.402115,58211.123231286256,534.0307828642058,25
2024-09-18,1191818552363.6113,53.14,34191170117.78261,60317.0319794625,545.8591557817873,50
2024-09-19,1211837853548.9263,54.63000338903983,40445339415.1129,61440.41208494509,559.2622033756663,25
2024-09-20,1243871590271.4927,54.18,41959080716.28771,62966.52931910512,565.7226434773531,50
2024-09-21,1246475981189.1353,54.24210712500709,35587830476.533394,63128.224540748255,568.1419699696063,25
2024-09-22,1254104417392.48,53.38,12938083115.659332,63403.402349259355,589.1278971088337,50
2024-09-23,1255899286380.1958,54.279661071613546,20349365412.816723,63582.59956924825,588.0008491467103,50
2024-09-24,1251095079247.0432,53.96,23998847798.757656,63327.02654450202,604.2907205092504,50
2024-09-25,1271183646356.5713,53.8795619465928,31490984593.70592,64334.14274876097,606.3196193639224,50
2024-09-26,1245721254991.302,53.64,26087643765.748165,63151.89959401337,587.4528459687532,50
2024-09-27,1287151352432.846,53.88205360949332,37995568903.94455,65130.76884023231,596.6500568684918,50
2024-09-28,1299708226182.0723,52.4,32664917503.931107,65791.00212541742,608.5326765533662,75
2024-09-29,1303217687717.8518,53.907395903388434,15342911002.84781,65934.10709441357,601.8844621885047,50
2024-09-30,1297825615076.3352,53.17,12948707838.938381,65663.68986662335,596.6124622623387,75
2024-10-01,1249577803402.1707,53.55826665789702,35124446789.27111,63243.27532464382,566.6132996895035,50
2024-10-02,1202927109017.5488,54.43,54251488433.95029,60872.668543725544,547.6662085850359,50
2024-10-03,1198652098493.4897,54.32283348315422,41870731291.86736,60655.55979196848,542.1361610816159,50
2024-10-04,1200491237695.5154,55.49,37711138441.76231,60727.86395169296,543.9268634322848,25
2024-10-05,1226663492771.043,54.35032996621572,30349059838.684578,62103.01047283253,555.7319512863536,25
2024-10-06,1226761949791.163,53.43,11095453162.990673,62091.932585194016,563.0576257615133,50
2024-10-07,1241834324867.657,54.332666651984006,14592422860.685436,62811.79972811266,570.3887106812168,25
2024-10-08,1231091696620.0955,53.22,33878876147.30253,62287.39010510681,564.5530144089458,50
2024-10-09,1229717180592.4397,54.27554583411147,28626429276.55382,62185.230423727575,580.5834563804233,50
2024-10-10,1197736450280.4102,55.86,28530748117.898792,60597.15045618275,570.4233445375069,25
2024-10-11,1189691671375.1472,53.83795830523066,29481971885.649742,60195.18073772453,562.2876092184791,75
2024-10-12,1233357176570.333,52.05,32008659336.482643,62392.34048293159,572.6973782181188,75
2024-10-13,1249002272717.2275,54.11041914871052,17665963646.417107,63207.77062127557,576.4218063678553,50
2024-10-14,1241241970951.0295,51.16,16784552979.060463,62829.533686088886,572.0464555145396,75
2024-10-15,1306085613997.8015,54.26817316216095,46553796134.14602,66049.99492708022,588.7145782741194,25
2024-10-16,1323774576161.621,53.02,51797932876.82809,66962.21994496793,593.7859585166118,75
2024-10-17,1337304399194.887,55.10666077148322,40640495380.19594,67647.54414766871,600.7171299370192,50
2024-10-18,1330387728623.8188,52.48,34512072357.92087,67328.10527002988,592.06562034803,75
2024-10-19,1353541799303.4875,55.1802332647534,39984956633.228035,68465.61920668735,599.7937020052995,25
2024-10-20,1351942347611.1997,52.19,14110889435.452631,68388.87128965274,598.0584515713127,75
2024-10-21,1362381684459.9053,54.554883524636125,17253863432.786995,68962.82918045693,604.7364465668796,25
2024-10-22,1332326858574.4448,55.78,40485496091.95008,67394.85775735618,598.8441916110455,25
2024-10-23,1331426858508.4004,54.7090497805113,31398389967.38113,67351.04793512498,593.2537357882547,25
2024-10-24,1318285437546.2786,54.7,32676918488.059,66683.96806542306,584.5160075603742,50
2024-10-25,1347888109010.5889,55.26529496189654,35892606570.03549,68214.05205157402,594.325893184941,25
2024-10-26,1313975091942.221,56.02,48426924850.053406,66585.66535501445,573.5027977179195,50
2024-10-27,1325192118637.2595,55.58519402866383,21169467789.89267,67018.1650170265,582.7002844268627,25
2024-10-28,1343350549900.1233,55.31,16533385730.434193,67938.55412885673,588.3466587883522,50
2024-10-29,1380874923096.4146,55.86219694456557,41990540384.96554,69845.304531169,600.2951565105121,50
2024-10-30,1439310420089.3665,55.41,65487782004.97014,72781.11308158132,605.9923660648295,50
2024-10-31,1431085552900.1965,56.30695200693986,43498144313.67304,72342.62171127986,595.7628311131087,25
