date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2023-08-18,0.0012213333333333334,0.0,0.0,12469170630.0,2.235,
2023-08-19,-0.001189,0.0,0.0,12135252506.0,2.16,
2023-08-20,-0.00139,0.0,0.0,12003282018.0,2.515,
2023-08-21,0.0013653333333333332,0.0,0.0,12161799442.0,2.51,
2023-08-22,0.0044473333333333335,0.0,0.0,12733718896.0,2.233,
2023-08-23,0.0024343333333333335,0.0,0.0,12249999254.0,2.481,
2023-08-24,0.005027333333333333,0.0,0.0,12200812763.0,1.969,
2023-08-25,0.0048913333333333335,0.0,0.0,12074611225.0,2.482,
2023-08-26,0.005787999999999999,0.0,0.0,11793077963.0,2.38,
2023-08-27,0.002825666666666667,0.0,0.0,11589246182.0,2.334,
2023-08-28,0.004957,0.0,0.0,11901004966.0,2.32,
2023-08-29,0.002368,0.0,0.0,11945284185.0,2.339,
2023-08-30,0.005462666666666667,0.0,0.0,13247229373.0,1.181,
2023-08-31,0.004555666666666667,0.0,0.0,12845606783.0,1.181,
2023-09-01,0.006396,0.0,0.0,11746370226.0,2.241,
2023-09-02,0.004069,0.0,0.0,11673427181.0,2.442,
2023-09-03,0.0030220000000000004,0.0,0.0,11508950629.0,2.328,
2023-09-04,0.003733,0.0,0.0,11669551733.0,2.247,
2023-09-05,0.003963,0.0,0.0,11648818103.0,2.385,
2023-09-06,0.004589666666666666,0.0,0.0,11770121586.0,2.469,
2023-09-07,0.0056883333333333334,0.0,0.0,11827672334.0,2.608,
2023-09-08,0.0015903333333333334,0.0,0.0,12042641890.0,1.991,
2023-09-09,0.0021933333333333336,0.0,0.0,11934007741.0,2.081,
2023-09-10,0.0047339999999999995,0.0,0.0,11548903449.0,1.996,
2023-09-11,0.0033033333333333335,0.0,0.0,11716607944.0,2.142,
2023-09-12,0.003716333333333333,0.0,0.0,12049425246.0,2.608,
2023-09-13,0.0016553333333333333,0.0,0.0,12022924030.0,1.709,
2023-09-14,0.0012503333333333333,0.0,0.0,12401428229.0,1.435,
