timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal
2025-09-16,115423.7578125,117005.2734375,114813.09375,116843.1875,45781744593.0,113783.4449148862,113569.32021886212,105358.6832546712,60.94563052146836,669.1858400062483,-74.01561522775961,743.2014552340079,89.20610533717858,88.74921251611394,117853.77242425154,106721.66663824845,112287.71953125,0.0991391207558097,2372.5306649179997,50727358446.049995,0.9025059848462286,1,1,1,1,0,0,0,-0.9596,3.2848,-24.1533,0,HOLD
2025-09-17,116840.5078125,117328.609375,114794.9765625,116468.5078125,60528025996.0,114039.16519084942,113683.01384998517,105469.22877265955,59.39829304813056,787.2991331216181,98.24733444211594,689.0517986795021,90.3928812807003,88.87893915701832,118356.27735244462,106611.53202255536,112483.90468749999,0.10441267452902019,2384.0379611738567,50810751947.75,1.1912444448419603,1,1,1,1,0,0,0,-0.9981,4.9782,-24.0224,0,HOLD
2025-09-18,116461.265625,117911.7890625,116188.796875,117137.203125,49457272032.0,114334.21642267329,113818.47225292693,105585.32801994652,61.28736298771893,924.2091839029308,263.43970433427893,660.7694795686518,92.42897906601206,90.67598856129698,118815.0635472413,107025.38254650868,112920.22304687499,0.10440717067870586,2336.8204059114382,49391446567.149994,1.0013327300458899,1,1,1,1,0,0,0,-3.7466,4.5146,-25.3747,0,HOLD
2025-09-19,117137.671875,117479.7578125,115141.8203125,115688.859375,38828473971.0,114463.23003718059,113891.82076751805,105685.86067024557,55.28728291547853,905.4052016500791,391.832803797439,513.57239785264,83.74042110153465,88.85409381608233,118947.9736781329,107580.55132186704,113264.26249999997,0.10036195093987269,2336.900198346336,48758557055.3,0.7963417360149173,1,1,1,1,0,0,0,-3.1761,6.7635,-24.2693,0,HOLD
2025-09-20,115691.125,116191.1484375,115473.5234375,115721.9609375,22864449614.0,114583.10917054434,113963.59097026245,105785.72236444712,55.39476435564327,882.9953094103694,490.06530492002514,392.93000449034423,77.85296354549666,84.67412123768112,118898.28843496497,108378.76156503502,113638.525,0.09257007577254237,2221.2376841787404,47502469947.5,0.4813318052570723,1,1,1,1,0,0,0,-2.0682,7.8037,-24.617,0,HOLD
2025-09-21,115730.2265625,115901.0859375,115252.578125,115306.09375,22495852193.0,114651.96484477821,114016.2381380953,105880.45242798497,53.649898033056445,822.2004864657647,556.4923412291731,265.7081452365916,69.1974475665527,76.930277404528,118820.96068664554,109061.63931335443,113941.29999999999,0.08565218558407804,2108.8998362016873,45283743907.4,0.4967754485804311,1,1,1,1,0,0,0,-5.4263,5.3295,-24.2872,0,HOLD
2025-09-22,115309.21875,115431.3125,112037.6484375,112748.5078125,70684158591.0,114470.68322265647,113966.52322336606,105948.79128753238,44.38942407033027,561.1754593842052,557.4289648601796,3.746494524025593,54.46996422403177,67.17345844536038,118762.53656553726,109274.8556219627,114018.69609374998,0.08321162465998966,2200.66870950871,45079101862.4,1.5680028144029396,1,0,1,1,0,0,1,-2.6924,9.4071,-22.1257,0,HOLD
2025-09-23,112757.4765625,113351.9140625,111535.5703125,112014.5,47211853279.0,114236.76101097491,113889.973293038,106009.1465981042,42.1412651187951,291.7201800823095,504.2872079046056,-212.5670278222961,35.753259339742144,53.14022371010886,118749.13327220401,109317.38782154598,114033.260546875,0.08271047767489707,2173.2169266866595,44383712348.1,1.063720242883673,1,0,1,0,0,0,0,-2.0824,8.6516,-21.5853,0,HOLD
2025-09-24,112007.6640625,113986.2734375,111229.640625,113328.6328125,48044595085.0,114150.27261112015,113867.95994086003,106081.97730670516,47.28852323878934,182.1151550727518,439.8527973382349,-257.7376422654831,24.81947764770309,38.34756707049233,118631.89842301526,109695.12579573473,114163.51210937499,0.07828046336484992,2214.889489959041,43779385457.299995,1.0974250685144966,1,0,1,0,0,0,0,-1.0642,-0.1008,-23.1102,0,HOLD
2025-09-25,113330.1640625,113541.0859375,108713.3984375,109049.2890625,75528654284.0,113664.4646541087,113678.99245543414,106111.50279681257,36.043574774481314,-247.2052651492413,302.44118484073965,-549.646449989981,16.82490826031406,25.79921508258643,118863.42771971092,109303.42696778907,114083.42734375,0.08379833052452196,2401.517919247681,44543735787.649994,1.6956066425156184,1,0,0,0,0,0,1,4.907,1.6127,-18.9081,1,BUY
